,date,open,close,high,low,volume,code
947,2013-09-24,41.773,44.8,45.136,41.732,106567.0,601888
948,2013-09-25,44.637,43.75,44.759,43.159,67175.0,601888
949,2013-09-26,44.199,41.763,44.82,41.58,73754.0,601888
950,2013-09-27,41.274,41.885,42.395,40.387,68406.0,601888
951,2013-09-30,41.794,42.232,43.037,40.571,55982.0,601888
952,2013-10-08,42.303,41.936,42.395,40.948,34455.0,601888
953,2013-10-09,41.987,40.744,41.987,40.52,55271.0,601888
954,2013-10-10,40.795,40.326,41.141,40.061,48967.0,601888
955,2013-10-11,40.295,41.06,41.121,40.295,37349.0,601888
956,2013-10-14,41.131,41.62,41.732,40.591,40683.0,601888
957,2013-10-15,41.274,39.745,41.366,39.49,58124.0,601888
958,2013-10-16,39.582,38.93,40.357,38.42,61685.0,601888
959,2013-10-17,39.032,40.01,40.102,38.481,48426.0,601888
960,2013-10-18,40.723,39.745,40.723,39.276,18985.0,601888
961,2013-10-21,39.45,41.294,41.355,39.113,52009.0,601888
962,2013-10-22,41.07,41.162,41.681,40.978,48046.0,601888
963,2013-10-23,41.07,42.171,44.331,41.07,58494.0,601888
964,2013-10-24,41.58,42.344,43.006,41.58,15621.0,601888
965,2013-10-25,42.048,39.949,42.782,39.399,46384.0,601888
966,2013-10-28,39.745,38.4,40.194,37.625,64720.0,601888
967,2013-10-29,38.42,36.402,39.032,35.822,90133.0,601888
968,2013-10-30,36.382,36.229,36.994,35.934,46070.0,601888
969,2013-10-31,36.902,36.627,37.197,36.382,23352.0,601888
970,2013-11-01,36.892,36.362,36.892,35.19,31133.0,601888
971,2013-11-04,36.464,35.923,36.464,35.394,36101.0,601888
972,2013-11-05,35.567,36.688,36.698,35.465,34575.0,601888
973,2013-11-06,36.637,35.332,36.637,35.312,43318.0,601888
974,2013-11-07,35.21,35.2,35.312,34.313,34381.0,601888
975,2013-11-08,35.2,33.824,35.383,33.783,29187.0,601888
976,2013-11-11,33.641,34.945,35.129,33.641,32766.0,601888
977,2013-11-12,34.925,35.047,35.526,34.517,33340.0,601888
978,2013-11-13,34.955,34.538,34.986,34.354,15376.0,601888
979,2013-11-14,34.955,35.934,35.974,34.548,25126.0,601888
980,2013-11-15,35.852,35.883,36.586,35.618,22248.0,601888
981,2013-11-18,35.974,36.769,36.892,35.628,38619.0,601888
982,2013-11-19,36.769,35.883,36.881,35.567,28829.0,601888
983,2013-11-20,36.117,35.913,36.117,35.159,26723.0,601888
984,2013-11-21,35.771,34.894,35.771,34.629,47482.0,601888
985,2013-11-22,34.853,35.078,35.23,34.711,27207.0,601888
986,2013-11-25,34.853,34.303,35.23,34.018,51492.0,601888
987,2013-11-26,34.344,34.395,34.935,34.14,40777.0,601888
988,2013-11-27,34.527,34.415,34.527,33.783,42821.0,601888
989,2013-11-28,34.629,34.955,35.322,34.446,40381.0,601888
990,2013-11-29,34.986,35.597,35.771,34.904,41220.0,601888
991,2013-12-02,35.139,34.385,35.251,34.262,43159.0,601888
992,2013-12-03,34.323,34.976,35.159,34.242,30552.0,601888
993,2013-12-04,34.945,36.423,36.688,34.802,59369.0,601888
994,2013-12-05,36.423,35.883,36.423,35.771,49293.0,601888
995,2013-12-06,35.873,35.057,35.995,34.67,50011.0,601888
996,2013-12-09,35.057,35.251,35.281,34.65,33196.0,601888
997,2013-12-10,35.343,35.18,35.669,34.741,34704.0,601888
998,2013-12-11,34.752,34.966,35.037,34.711,17875.0,601888
999,2013-12-12,34.843,35.546,35.75,34.762,25232.0,601888
1000,2013-12-13,35.078,35.76,36.229,34.976,39592.0,601888
1001,2013-12-16,35.974,35.404,36.28,35.363,39637.0,601888
1002,2013-12-17,35.373,35.608,36.005,35.006,28708.0,601888
1003,2013-12-18,35.669,36.331,36.382,35.516,34095.0,601888
1004,2013-12-19,36.331,34.497,36.515,34.385,43414.0,601888
1005,2013-12-20,34.507,34.14,34.65,33.732,47921.0,601888
1006,2013-12-23,34.14,33.885,34.232,33.427,32402.0,601888
1007,2013-12-24,34.038,34.65,34.731,33.834,35542.0,601888
1008,2013-12-25,34.65,34.16,34.945,33.508,47848.0,601888
1009,2013-12-26,34.089,33.416,34.16,33.366,32184.0,601888
1010,2013-12-27,33.518,34.538,34.701,33.427,43238.0,601888
1011,2013-12-30,34.65,35.281,35.791,34.65,33737.0,601888
1012,2013-12-31,35.067,35.567,35.72,34.762,28065.0,601888
1013,2014-01-02,35.414,35.343,35.648,35.037,20175.0,601888
1014,2014-01-03,35.465,34.945,35.699,34.548,24389.0,601888
1015,2014-01-06,34.65,33.794,34.701,33.549,29518.0,601888
1016,2014-01-07,33.529,33.824,34.14,33.406,27571.0,601888
1017,2014-01-08,34.16,33.05,34.16,32.917,41448.0,601888
1018,2014-01-09,32.825,33.039,33.62,32.825,27308.0,601888
1019,2014-01-10,33.07,34.792,34.833,33.07,53232.0,601888
1020,2014-01-13,35.108,34.181,35.363,33.732,37331.0,601888
1021,2014-01-14,34.038,35.577,35.648,33.997,31224.0,601888
1022,2014-01-15,35.618,35.485,35.73,34.752,18478.0,601888
1023,2014-01-16,35.424,35.353,35.669,35.088,17908.0,601888
1024,2014-01-17,35.567,34.425,35.567,34.323,20904.0,601888
1025,2014-01-20,34.385,34.864,34.996,33.845,15008.0,601888
1026,2014-01-21,34.853,35.118,35.353,34.65,11974.0,601888
1027,2014-01-22,35.159,35.526,35.72,35.159,38535.0,601888
1028,2014-01-23,35.852,36.301,36.545,35.679,48526.0,601888
1029,2014-01-24,36.076,36.056,36.504,36.005,31225.0,601888
1030,2014-01-27,35.689,36.148,36.688,35.322,38275.0,601888
1031,2014-01-28,36.178,35.526,36.606,35.485,30620.0,601888
1032,2014-01-29,35.913,34.639,35.913,34.273,43722.0,601888
1033,2014-01-30,34.629,34.293,34.639,34.14,13583.0,601888
1034,2014-02-07,34.273,34.487,34.782,34.038,29593.0,601888
1035,2014-02-10,34.548,35.047,35.129,33.376,85429.0,601888
1036,2014-02-11,35.659,38.553,38.553,35.659,103049.0,601888
1037,2014-02-12,39.022,38.909,39.745,38.216,118198.0,601888
1038,2014-02-13,39.032,38.685,39.083,37.931,49701.0,601888
1039,2014-02-14,38.451,38.94,39.388,38.013,59158.0,601888
1040,2014-02-17,38.981,38.512,39.205,38.115,68745.0,601888
1041,2014-02-18,38.553,38.797,39.388,38.369,48376.0,601888
1042,2014-02-19,39.022,38.655,39.144,38.481,37377.0,601888
1043,2014-02-20,38.655,37.952,39.317,37.921,40340.0,601888
1044,2014-02-21,37.86,37.585,38.084,37.024,41987.0,601888
1045,2014-02-24,37.116,39.236,39.337,36.851,54762.0,601888
1046,2014-02-25,39.236,38.084,40.448,37.829,83131.0,601888
